epoch,lr,train_loss,val_loss,val_top1,val_top3,sec
1,0.00029815325108927063,1.9733814070377445,1.8695143585205078,0.3880000032186508,0.7239999978542327,350.77491426467896
2,0.00029265847744427303,1.689214798499798,1.7492982330322266,0.4640000123977661,0.7520000104904174,337.2844910621643
3,0.0002836509786282552,1.5102094208665668,1.708402569770813,0.4839999988079071,0.8119999966621398,337.79614663124084
4,0.0002713525491562421,1.2801478991954784,1.7199767045974732,0.48799999451637266,0.8000000214576721,337.1802134513855
5,0.0002560660171779821,1.2266691170302517,1.6888751678466798,0.49200000858306886,0.8079999895095825,337.40050768852234
6,0.000238167787843871,1.2086003590099916,1.6935584154129029,0.4959999988079071,0.7959999895095825,337.5084128379822
7,0.00021809857496093204,1.1881548547979646,1.78718723487854,0.4679999911785126,0.8040000047683716,336.9807770252228
8,0.00019635254915624216,1.1056572552385002,1.762225793838501,0.52800000166893,0.7679999947547913,337.6285791397095
9,0.00017346516975603468,1.0062089234150102,1.774277117729187,0.4680000026226044,0.7640000100135803,337.4818594455719
10,0.00015000000000000001,0.9490351568889148,1.7881273460388183,0.47999999713897706,0.7880000219345092,337.25267124176025
11,0.0001265348302439654,0.886242828932889,1.7642445602416992,0.4679999916553497,0.7960000019073487,337.49299120903015
12,0.0001036474508437579,0.8823361598799382,1.7443754720687865,0.5239999940395356,0.7880000219345092,337.8516402244568
13,8.190142503906799e-05,0.9365024134443312,1.748610227584839,0.5120000009536743,0.7919999947547912,337.5115735530853
14,6.183221215612905e-05,0.9475745384329058,1.758550350189209,0.5040000145435333,0.7759999976158142,337.44564938545227
15,4.393398282201788e-05,0.8996463352823493,1.7602385749816896,0.49200000309944153,0.7840000023841858,337.40296268463135
16,2.86474508437579e-05,0.7613663847223291,1.7443123168945311,0.5120000004768371,0.7800000052452087,336.87346839904785
17,1.6349021371744834e-05,0.9602987900156106,1.7466612787246705,0.5120000119209289,0.7840000023841858,337.4003200531006
18,7.341522555726972e-06,0.8933940953221814,1.7463386459350585,0.5160000021457672,0.7960000023841858,337.56092381477356
19,1.8467489107293517e-06,0.9691597727131961,1.739492218017578,0.5279999902248382,0.7960000128746033,337.1546313762665
20,0.0,0.8565157716497412,1.740683027267456,0.5359999825954437,0.7960000128746033,337.9350166320801
